12/31/2019 12:00:00,Alaska Air,Travel,-$115.75
12/30/2019 1:00:00,Evergreen Iga Market,Groceries,-$28.60
12/29/2019 2:00:00,Glover Street Market,Eating Out,-$27.97
12/28/2019 3:00:00,Big Star Montessori,Classes,-$621.17
12/27/2019 4:00:00,United Way,Charity,-$300.00
12/26/2019 5:00:00,Tiller (tillerhq.com),Subscriptions,-$6.87
12/25/2019 6:00:00,PCC Natural Market - Issaquah WA,Groceries,-$14.63
12/24/2019 7:00:00,Etsy,Freelance,$653.59
12/23/2019 8:00:00,"Espresso Vivace Seattle, Seattle, WA",Eating Out,-$6.18
12/23/2019 9:00:00,"The Essential Baking Co, Seattle, WA",Eating Out,-$15.96
12/22/2019 10:00:00,"Shell Oil, Auto Fuel Dispenser",Auto and Gas,-$25.17
12/22/2019 11:00:00,"Winthrop Mountain Sports Winthrop, WA",Stuff,-$50.35
12/21/2019 12:00:00,"REI, Store 11, Seattle",Gear and Clothing,-$488.96
12/20/2019 13:00:00,"Toyota of Seattle, Seattle, WA",Auto and Gas,-$260.37
12/19/2019 14:00:00,Amazon.com,Gear and Clothing,-$16.49
12/17/2019 15:00:00,Hank's Harvest Foodstwisp WA,Groceries,-$27.18
12/16/2019 16:00:00,Khan Academy,Charity,-$300.00
12/15/2019 12:00:00,Roadpost Usa,Subscriptions,-$34.22
12/14/2019 17:00:00,Chevron Service Stn,Auto and Gas,-$25.75
12/13/2019 18:00:00,Texaco Service Stn,Auto and Gas,-$44.81
12/13/2019 19:00:00,AT&T,Phone,-$102.85
12/12/2019 8:00:00,"Costco Gas, Burlington",Auto and Gas,-$13.77
12/11/2019 9:00:00,"Zeitgeist Coffee, Seattle, WA",Eating Out,-$10.26
12/11/2019 10:00:00,Dropbox,Subscriptions,-$9.71
12/10/2019 11:00:00,"Storyville Coffee, Seattle, WA",Eating Out,-$11.73
12/10/2019 12:00:00,Chase Bank Mortgage,Mortgage,"-$1,903.00"
12/10/2019 13:00:00,Paycheck,Paycheck,"$5,544.00"
12/10/2019 14:00:00,Audible,Subscriptions,-$15.12
12/9/2019 15:00:00,North Valley Lumber,Home Improvements,-$249.68
12/8/2019 16:00:00,Itunes.com,Subscriptions,-$2.08
12/7/2019 17:00:00,"Mazama Store, Mazama",Eating Out,-$16.07
12/6/2019 18:00:00,"Trader Joe's #130, Seattle",Groceries,-$68.52
12/6/2019 8:00:00,New York Times Digital,Subscriptions,-$18.12
12/5/2019 9:00:00,Centurylink,Phone,-$24.42
12/4/2019 10:00:00,Whole Foods - Seattle WA,Groceries,-$107.76
12/3/2019 11:00:00,"Portage Bay Cafe and Cate, Seattle, WA",Eating Out,-$60.21
12/3/2019 12:00:00,Union Garage,Parking,-$25.41
12/2/2019 13:00:00,"Zoka Coffee Roa, Seattle, WA",Eating Out,-$2.52
12/2/2019 14:00:00,"Okanogan County Energy, Winthrop, WA",Utilities,-$205.44
